total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
16	9	4	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_ATRIAL_SEPTUM_MORPHOGENESIS
23	11	2	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_REGULATION_OF_DEPHOSPHORYLATION
45	12	12	11	53	20	44	0.45660	0.09792	1.00000	False	GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION
45	17	10	20	44	11	53	2.19008	0.09792	1.00000	False	GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
39	14	11	20	44	11	53	2.19008	0.09792	1.00000	False	GOBP_REGULATION_OF_ACTIN_NUCLEATION
35	13	6	20	44	11	53	2.19008	0.09792	1.00000	False	GOBP_DEVELOPMENTAL_INDUCTION
39	14	7	15	49	7	57	2.49271	0.09952	1.00000	False	GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT
42	13	9	15	49	7	57	2.49271	0.09952	1.00000	False	GOBP_T_CELL_CYTOKINE_PRODUCTION
42	12	14	12	52	21	43	0.47253	0.10519	1.00000	False	GOBP_POTASSIUM_ION_HOMEOSTASIS
30	11	7	21	43	12	52	2.11628	0.10519	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS
49	23	22	32	32	22	42	1.90909	0.10684	1.00000	False	GOBP_HINDBRAIN_MORPHOGENESIS
50	25	23	34	30	24	40	1.88889	0.10968	1.00000	False	GOBP_REGULATION_OF_CAMP_PKA_SIGNAL_TRANSDUCTION
43	20	18	36	28	26	38	1.87912	0.11109	1.00000	False	GOBP_SYNAPSE_MATURATION
8	5	5	16	48	8	56	2.33333	0.11169	1.00000	False	GOBP_POSTSYNAPTIC_MEMBRANE_ASSEMBLY
36	11	8	16	48	8	56	2.33333	0.11169	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
37	12	7	16	48	8	56	2.33333	0.11169	1.00000	False	GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE
25	9	8	16	48	8	56	2.33333	0.11169	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE
34	15	12	22	42	13	51	2.05495	0.11194	1.00000	False	GOBP_MESODERMAL_CELL_DIFFERENTIATION
37	16	10	22	42	13	51	2.05495	0.11194	1.00000	False	GOBP_CELLULAR_RESPONSE_TO_ALKALOID
28	11	7	22	42	13	51	2.05495	0.11194	1.00000	False	GOBP_CELLULAR_RESPONSE_TO_GAMMA_RADIATION
27	15	9	22	42	13	51	2.05495	0.11194	1.00000	False	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING
42	14	17	13	51	22	42	0.48663	0.11194	1.00000	False	GOBP_MYOTUBE_CELL_DEVELOPMENT
21	11	6	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM
15	8	5	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME
12	7	4	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE
8	8	2	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_MAINTENANCE_OF_LENS_TRANSPARENCY
23	6	6	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE
9	5	4	12	52	5	59	2.72308	0.11622	1.00000	False	GOBP_CORTICAL_MICROTUBULE_ORGANIZATION
50	14	15	14	50	23	41	0.49913	0.11818	1.00000	False	GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY
18	10	5	23	41	14	50	2.00348	0.11818	1.00000	False	GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION
44	21	14	23	41	14	50	2.00348	0.11818	1.00000	False	GOBP_DOPAMINE_METABOLIC_PROCESS
50	14	7	17	47	9	55	2.21040	0.12305	1.00000	False	GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION
23	11	8	17	47	9	55	2.21040	0.12305	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION
28	13	9	17	47	9	55	2.21040	0.12305	1.00000	False	GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE
33	17	10	17	47	9	55	2.21040	0.12305	1.00000	False	GOBP_RESPONSE_TO_PROGESTERONE
37	19	10	24	40	15	49	1.96000	0.12392	1.00000	False	GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT
45	22	14	24	40	15	49	1.96000	0.12392	1.00000	False	GOBP_REGULATION_OF_MYELINATION
24	12	9	18	46	10	54	2.11304	0.13362	1.00000	False	GOBP_REGULATION_OF_ANOIKIS
46	15	11	18	46	10	54	2.11304	0.13362	1.00000	False	GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING
23	8	6	18	46	10	54	2.11304	0.13362	1.00000	False	GOBP_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES
