total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
14	7	7	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY
15	8	8	12	52	13	51	0.90533	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY
23	9	9	12	52	13	51	0.90533	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
29	12	11	14	50	14	50	1.00000	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
9	5	4	10	54	9	55	1.13169	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY
26	9	9	11	53	10	54	1.12075	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY
14	5	5	10	54	10	54	1.00000	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_DUPLICATION_OR_MUTATION_ACTIVATED_FLT3_TO_RAS_PI3K_SIGNALING_PATHWAY
14	4	6	10	54	9	55	1.13169	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_EML4_ALK_FUSION_KINASE_TO_PLCG_ERK_SIGNALING_PATHWAY
12	6	5	10	54	9	55	1.13169	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY
29	9	10	10	54	11	53	0.89226	1.00000	1.00000	False	KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY
22	9	9	12	52	13	51	0.90533	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
5	3	4	12	52	11	53	1.11189	1.00000	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ERBB4_TO_NRG_ERBB4_PI3K_SIGNALING_PATHWAY
